"rodne_nid","rodne_pid","trid","rodne_uid","site_name","uid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y","snag_spcd_group","snag_slope","snag_dbh","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen","end_year","ci_age_lower","predicted_age","ci_age_upper","pred_pith"
1,"A07",11,"A070029_new","Ashland","AW69_011_01_new","1_new",1,45,"Hardwood","A","density",0.1,NA,"NO","ARME",22.3704520705278,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,6,534,738,204,923,3.74015748031496,0.207311704254486,0.0762969481371328,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1959,40,86,109,1873
2,"A07",22,"A070039_004_new","Ashland","AW69_022_02_004_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",22.6886963923975,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,6,534,738,204,923,0.984251968503937,0.024488944517889,0.00528372217016155,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2008,2008,2008,2008,1959,40,86,109,1873
3,"A07",74,"A070095_new","Ashland","AW69_074_01_new","1_new",1,42,"Hardwood","A","density",0.1,NA,"NO","QUKE",20.2674190744624,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,3,534,738,204,923,4.29133858267717,0.258314300714895,0.100441444965903,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1959,40,86,109,1873
4,"A12",79,"A120131_new","Ashland","AW73_079_03_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",20.6160823258461,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1284636.75,"Mid Slope",NA,2012,6,540,725,185,1032,2.95275590551181,0.14202476352394,0.0475534995314539,231,325,211,"Douglas-fir - Dry,Warm,Mid Slope",-122.70004468,42.15691476,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2008,2008,2008,2008,1940,48,89,107,1851
5,"A17",86,"A170097_new","Ashland","AW22_086_04_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",34.8329531892607,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1405492.5,"Ridge Top",NA,2012,6,544,700,156,1103,5.51181102362205,0.385541302725637,0.165697527256266,437,361,205,"Douglas-fir - Dry,Warm,Ridge Top",-122.72987228,42.15189564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1960,46,61,101,1899
6,"A38",14,"A380032_new","Ashland","AW48_014_04_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",20.9836617901247,0,"CLEAN SNAG",5,NA,NA,NA,NA,NA,NA,"PSME-ABCO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1181808.5,"Ridge Top",NA,2011,6,562,757,194,1258,1.96850393700787,0.0742365978042368,0.0211348886806462,591,438,229,"White fir - Intermediate,Warm,Ridge Top",-122.72745247,42.12662687,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-17.5225369431286,-8.76126847156432,-3.63625495694863,-17.5225369431286,-8.76126847156432,-3.63625495694863,2002,2002,2002,2002,1942,50,88,98,1854
7,"A38",117,"A380231_new","Ashland","AW48_117_02_new","1_new",1,95,"Hardwood","A","density",0.1,NA,"NO","ARME",19.1560253925054,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1181808.5,"Ridge Top",NA,2011,6,562,757,194,1258,9.44881889763779,0.9132801956714,0.486947835202088,591,438,229,"White fir - Intermediate,Warm,Ridge Top",-122.72745247,42.12662687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1920,50,80,98,1840
8,"A42",30,"A420039_new","Ashland","AW44_030_02_new","1_new",1,60,"Hardwood","A","density",0.1,NA,"NO","ARME",19.7949648845635,0,"RECENT DEAD",3,NA,NA,NA,NA,NA,NA,"PSME-ABCO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1107916.75,"Mid Slope",NA,2011,6,577,786,208,1252,5.70866141732283,0.407807169792628,0.177744413804234,348,306,174,"White fir - Intermediate,Cool,Mid Slope",-122.73211391,42.12217268,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,NA,NA,NA,NA,NA,NA,NA,NA,2011,2011,1922,58,75,96,1847
9,"B03",49,"B030059_new","Big Butte","BB03_049_03_new","3_new",1,NA,"Hardwood","B","density",0.1,NA,"NO","QUKE",18.3590604072111,0,"BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1187062.75,"Mid Slope",NA,2012,3,566,781,214,693,5.90551181102362,0.430538573855914,0.190213998125816,328,336,207,"Douglas-fir - Dry,Warm,Mid Slope",-122.68467677,42.55834966,"Misc hardwoods","Other","Small",0.0716364450414148,0.133833333333333,-37.5594948281219,-18.779747414061,-7.7942994038202,-28.5595414128617,-14.2797707064309,-5.92664032427235,1993,1998,1993,1998,1915,56,72,106,1843
10,"C10",48,"C100053_new","Trail Creek","TL11_048_02_new","2_new",1,NA,"Hardwood","C","density",0.1,NA,"NO","ARME",28.4362458602861,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1086468.625,"Bottom Slope",NA,2012,6,536,731,194,649,2.95275590551181,0.14202476352394,0.0475534995314539,202,268,174,"Douglas-fir - Dry,Cool,Bottom Slope",-122.85432378,42.69575777,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2008,2008,2008,2008,1915,48,91,108,1824
11,"E03",56,"E030013_new","Elder Creek","ED03_056_01_new","1_new",1,45,"Hardwood","E","density",0.1,"E0313","YES","QUCH",17.2454848028242,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-CADE27-PIJE","Jeffrey pine","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1382142.5,"Mid Slope",NA,2014,3,607,823,216,895,5.31496062992126,0.363747555160172,0.154073338481911,129,484,404,"Jeffrey pine,Warm,Mid Slope",-123.56438933,42.0536577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,70,113,128,1813
12,"E03",9,"E030021_new","Elder Creek","ED03_009_01_new","1_new",1,50,"Hardwood","E","density",0.1,NA,"NO","QUCH",21.2474273672648,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-CADE27-PIJE","Jeffrey pine","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1382142.5,"Mid Slope",NA,2014,3,607,823,216,895,5.03937007874016,0.334042715000915,0.138509606457483,129,484,404,"Jeffrey pine,Warm,Mid Slope",-123.56438933,42.0536577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,70,114,128,1813
13,"E03",34,"E030046_new","Elder Creek","ED03_034_01_new","1_new",1,51,"Hardwood","E","density",0.1,NA,"NO","QUCH",20.639736631409,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-CADE27-PIJE","Jeffrey pine","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1382142.5,"Mid Slope",NA,2014,3,607,823,216,895,5.31496062992126,0.363747555160172,0.154073338481911,129,484,404,"Jeffrey pine,Warm,Mid Slope",-123.56438933,42.0536577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,70,114,128,1812
14,"G01",9,"G010016_new","Grayback Creek","GB01_009_01_new","1_new",1,126,"Hardwood","G","density",0.1,NA,"NO","LIDE",35.9967647900945,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1374851.125,"Mid Slope",NA,2014,3,568,776,208,784,7.32283464566929,0.607416750550542,0.292473043518254,158,338,274,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45100927,42.14707493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,45,96,160,1832
15,"G01",70,"G010112_new","Grayback Creek","GB01_070_01_new","1_new",1,104,"Hardwood","G","density",0.1,NA,"NO","ARME",21.4102871211426,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1374851.125,"Mid Slope",NA,2014,6,568,776,208,784,9.64566929133858,0.94391261086494,0.507448677222315,158,338,274,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45100927,42.14707493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1918,45,86,177,1832
16,"G01",81,"G010136_new","Grayback Creek","GB01_081_03_new","3_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","ARME",50.4303643183062,0,"BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1374851.125,"Mid Slope",NA,2014,6,568,776,208,784,3.61521377952756,0.196342525927377,0.071284540844222,158,338,274,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45100927,42.14707493,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-46.0852578110958,-23.0426289055479,-9.56355507776901,-34.504947450749,-17.2524737253745,-7.16042355135339,1991,1997,1991,1997,1927,79,99,160,1828
17,"G04",13,"G040035_new","Grayback Creek","GB04_013_03_new","3_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","ARME",19.4447992455804,0,"BROKEN BUTT SNAG",7,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1377836.875,"Mid Slope",NA,2014,6,567,776,210,768,3.93700787401575,0.225043282266502,0.0845395547225848,158,488,397,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45195001,42.14631724,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-74.647978679063,-37.3239893395315,-15.4908551985894,-51.4873579583693,-25.7436789791847,-10.6845921457581,1977,1988,1977,1988,1924,45,80,143,1844
18,"G04",17,"G040043_new","Grayback Creek","GB04_017_02_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","ARME",28.240043430666,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1377836.875,"Mid Slope",NA,2014,6,567,776,210,768,5.86614173228346,0.425955355407758,0.18768626543961,158,488,397,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45195001,42.14631724,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1934,45,67,110,1867
19,"G04",18,"G040048_new","Grayback Creek","GB04_018_01_new","1_new",1,50,"Hardwood","G","density",0.1,NA,"NO","ARME",15.8428396093493,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1377836.875,"Mid Slope",NA,2014,6,567,776,210,768,5.90551181102362,0.430538573855914,0.190213998125816,158,488,397,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45195001,42.14631724,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1934,45,77,143,1857
20,"G04",38,"G040088_new","Grayback Creek","GB04_038_03_new","3_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","ARME",23.996568447176,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1377836.875,"Mid Slope",NA,2014,6,567,776,210,768,7.08661417322835,0.576370920806797,0.273908157301175,158,488,397,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45195001,42.14631724,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1930,45,69,141,1861
21,"G04",40,"G040090_new","Grayback Creek","GB04_040_01_new","1_new",1,108,"Hardwood","G","density",0.1,NA,"NO","LIDE",30.5620509051258,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1377836.875,"Mid Slope",NA,2014,3,567,776,210,768,6.65354330708661,0.521056455427938,0.241453422243174,158,488,397,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45195001,42.14631724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1935,45,67,110,1868
22,"G05",38,"G050087_new","Grayback Creek","GB05_038_01_new","1_new",1,45,"Hardwood","G","density",0.1,NA,"NO","LIDE",20.3472421759929,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1351937.625,"Mid Slope",NA,2014,3,567,804,236,627,4.7244094488189,0.301270110735157,0.121736958800522,69,463,466,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45793745,42.14233661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1943,53,117,137,1826
23,"G05",54,"G050104_new","Grayback Creek","GB05_054_02_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",20.0046381210749,0,"BROKEN BUTT SNAG",7,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1351937.625,"Mid Slope",NA,2014,3,567,804,236,627,0.984251968503937,0.024488944517889,0.00528372217016155,69,463,466,"Tan oak - Douglas-fir - Dry,Warm,Mid Slope",-123.45793745,42.14233661,"Misc hardwoods","Other","Small",0.0716364450414148,0.133833333333333,-57.5964527131152,-28.7982263565576,-11.9523438506918,-39.5965458825948,-19.7982729412974,-8.21702569159607,1985,1994,1985,1994,1924,53,117,137,1807
24,"G06",2,"G060012_new","Grayback Creek","GB06_002_02_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",29.2774529133203,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1365462,"Ridge Top",NA,2014,3,553,758,205,672,2.95275590551181,0.14202476352394,0.0475534995314539,69,493,484,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45627471,42.1428335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1917,85,100,215,1817
25,"G06",20,"G060046_new","Grayback Creek","GB06_020_02_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",24.1370850151095,0,"RECENT DEAD",3,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1365462,"Ridge Top",NA,2014,3,553,758,205,672,2.95275590551181,0.14202476352394,0.0475534995314539,69,493,484,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45627471,42.1428335,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,1917,85,99,215,1818
26,"G06",48,"G060110_002_new","Grayback Creek","GB06_048_04_002_new","4_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",19.6097201364303,0,"RECENT DEAD",3,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1365462,"Ridge Top",NA,2014,3,553,758,205,672,0.984251968503937,0.024488944517889,0.00528372217016155,69,493,484,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45627471,42.1428335,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,1917,84.925,98,215,1819
27,"G06",56,"G060127_new","Grayback Creek","GB06_056_02_new","2_new",1,NA,"Hardwood","G","density",0.1,NA,"NO","LIDE",21.4082182634237,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1365462,"Ridge Top",NA,2014,3,553,758,205,672,0.984251968503937,0.024488944517889,0.00528372217016155,69,493,484,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45627471,42.1428335,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1914,84.925,98,215,1816
28,"G06",64,"G060143_new","Grayback Creek","GB06_064_01_new","1_new",1,92,"Hardwood","G","density",0.1,NA,"NO","LIDE",24.0486735162394,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1365462,"Ridge Top",NA,2014,3,553,758,205,672,8.85826771653543,0.823679168340479,0.427981495783085,69,493,484,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45627471,42.1428335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1915,84.925,98,215,1817
29,"G06",65,"G060145_new","Grayback Creek","GB06_065_01_new","1_new",1,128,"Hardwood","G","density",0.1,NA,"NO","LIDE",41.5848632572935,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1365462,"Ridge Top",NA,2014,3,553,758,205,672,4.37007874015748,0.26593948259393,0.104161185373697,69,493,484,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.45627471,42.1428335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1917,85,92,127,1825
30,"G07",11,"G070031_new","Grayback Creek","GB07_011_01_new","1_new",1,80,"Hardwood","G","density",0.1,NA,"NO","LIDE",17.2953517924681,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1382572.375,"Ridge Top",NA,2014,3,558,772,214,714,7.08661417322835,0.576370920806797,0.273908157301175,109,314,285,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.455999,42.14360666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,71,86,90,1842
31,"G07",31,"G070090_new","Grayback Creek","GB07_031_01_new","1_new",1,100,"Hardwood","G","density",0.1,NA,"NO","LIDE",34.5145843351019,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1382572.375,"Ridge Top",NA,2014,3,558,772,214,714,4.33070866141732,0.262116493604645,0.102292861214328,109,314,285,"Tan oak - Douglas-fir - Dry,Warm,Ridge Top",-123.455999,42.14360666,"Misc hardwoods","Ridgetop","Small",0.0716364450414148,0.226333333333333,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2010,2010,2010,2010,1921,80,98,186,1823
