"rodne_pid","site_name","uid","trid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","rodne_uid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","tpi","x","y","plantassoc","pvt","bps","insol","insol_value","elevation","year_sampled","true_age"
"B09","Big Butte","BB09_032_01",32,1,0,NA,"Hardwood","B","density","0.1",NA,"B090037","NO","FRLA",14.1,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-122.6826502,42.55443954,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1139190,761,2012,NA
"B09","Big Butte","BB09_033_01",33,1,1,90,"Hardwood","B","density","0.1",NA,"B090038","NO","FRLA",16,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-122.6826502,42.55443954,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1139190,761,2012,NA
"B09","Big Butte","BB09_033_02",33,2,1,NA,"Hardwood","B","density","0.1",NA,"B090039","NO","FRLA",10,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-122.6826502,42.55443954,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1139190,761,2012,NA
"B09","Big Butte","BB09_033_03",33,3,1,NA,"Hardwood","B","density","0.1",NA,"B090040","NO","FRLA",11.3,"0","CLEAN SNAG","5",NA,NA,NA,NA,NA,NA,"Mid Slope",-122.6826502,42.55443954,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1139190,761,2012,NA
"B09","Big Butte","BB09_033_04",33,4,1,NA,"Hardwood","B","density","0.1",NA,"B090041","NO","FRLA",7.1,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-122.6826502,42.55443954,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1139190,761,2012,NA
"CA","Trail Creek","MTL6621",662,1,0,NA,"Hardwood","C","stem","3",NA,"C0A0630","NO","FRLA",30,"0","OLDER DEAD","4",NA,NA,NA,NA,NA,NA,"Mid Slope",-122.8518839,42.70299194,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1185811.25,668,2012,NA
"G02","Grayback Creek","GB02_048_01",48,1,0,75,"Hardwood","G","density","0.1",NA,"G020066","NO","ALRU",36.5,"2","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-123.45257044,42.14538389,"LIDE3-PSME-QUCH2/RHDI6","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1365469.25,738,2014,NA
"R03","Briggs Secret","BS03_030_02_001",30,2,1,NA,"Hardwood","R","density","0.1",NA,"R030066_001","NO","CONU",7.5,"0","BROKEN TOPPED SNAG","6",NA,NA,NA,NA,NA,NA,"Ridge Top",-123.67234639,42.43421934,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1353783.375,927,2014,NA
"R03","Briggs Secret","BS03_030_02_003",30,2,1,NA,"Hardwood","R","density","0.1",NA,"R030066_003","NO","CONU",7.5,"0","BROKEN TOPPED SNAG","6",NA,NA,NA,NA,NA,NA,"Ridge Top",-123.67234639,42.43421934,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1353783.375,927,2014,NA
"R03","Briggs Secret","BS03_030_02_002",30,2,1,NA,"Hardwood","R","density","0.1",NA,"R030066_002","NO","CONU",7.5,"0","BROKEN TOPPED SNAG","6",NA,NA,NA,NA,NA,NA,"Ridge Top",-123.67234639,42.43421934,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1353783.375,927,2014,NA
"R03","Briggs Secret","BS03_055_01",55,1,1,82,"Hardwood","R","density","0.1",NA,"R030119","NO","CONU",14.1,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Ridge Top",-123.67234639,42.43421934,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1353783.375,927,2014,NA
"R03","Briggs Secret","BS03_055_02",55,2,1,NA,"Hardwood","R","density","0.1",NA,"R030120","NO","CONU",10.9,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"Ridge Top",-123.67234639,42.43421934,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1353783.375,927,2014,NA
"R03","Briggs Secret","BS03_055_03",55,3,1,NA,"Hardwood","R","density","0.1",NA,"R030121","NO","CONU",10.7,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"Ridge Top",-123.67234639,42.43421934,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1353783.375,927,2014,NA
"R03","Briggs Secret","BS03_030_01_001",30,1,1,86,"Hardwood","R","density","0.1",NA,"R030065_001","NO","CONU",12.8785383333333,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Ridge Top",-123.67234639,42.43421934,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1353783.375,927,2014,NA
"R03","Briggs Secret","BS03_030_01_002",30,1,1,86,"Hardwood","R","density","0.1",NA,"R030065_002","NO","CONU",12.8785383333333,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Ridge Top",-123.67234639,42.43421934,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1353783.375,927,2014,NA
"R03","Briggs Secret","BS03_030_01_003",30,1,1,86,"Hardwood","R","density","0.1",NA,"R030065_003","NO","CONU",12.8785383333333,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Ridge Top",-123.67234639,42.43421934,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1353783.375,927,2014,NA
"R03","Briggs Secret","BS03_056_01",56,1,0,17,"Hardwood","R","density","0.1",NA,"R030122","NO","CONU",10.2,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Ridge Top",-123.67234639,42.43421934,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Warm",1353783.375,927,2014,NA
"R05","Briggs Secret","BS05_005_01_004",5,1,1,68,"Hardwood","R","density","0.1",NA,"R050019_004","NO","CONU",7.98247375,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-123.67782687,42.43600707,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",888113.125,790,2014,NA
"R05","Briggs Secret","BS05_005_01_003",5,1,1,68,"Hardwood","R","density","0.1",NA,"R050019_003","NO","CONU",7.98247375,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-123.67782687,42.43600707,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",888113.125,790,2014,NA
"R05","Briggs Secret","BS05_005_01_002",5,1,1,68,"Hardwood","R","density","0.1",NA,"R050019_002","NO","CONU",7.98247375,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-123.67782687,42.43600707,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",888113.125,790,2014,NA
"R05","Briggs Secret","BS05_005_01_001",5,1,1,68,"Hardwood","R","density","0.1",NA,"R050019_001","NO","CONU",7.98247375,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-123.67782687,42.43600707,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",888113.125,790,2014,NA
"R05","Briggs Secret","BS05_033_01",33,1,0,32,"Hardwood","R","density","0.1",NA,"R050050","NO","CONU",13,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-123.67782687,42.43600707,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",888113.125,790,2014,NA
"R05","Briggs Secret","BS05_017_01",17,1,1,70,"Hardwood","R","density","0.1",NA,"R050034","NO","CONU",12,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-123.67782687,42.43600707,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",888113.125,790,2014,NA
"R05","Briggs Secret","BS05_047_01",47,1,0,30,"Hardwood","R","density","0.1",NA,"R050073","NO","CONU",13,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-123.67782687,42.43600707,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",888113.125,790,2014,NA
"R05","Briggs Secret","BS05_042_02",42,2,1,NA,"Hardwood","R","density","0.1",NA,"R050063","NO","CONU",7.5,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-123.67782687,42.43600707,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",888113.125,790,2014,NA
"R05","Briggs Secret","BS05_042_01",42,1,1,50,"Hardwood","R","density","0.1",NA,"R050062","NO","CONU",10.2,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-123.67782687,42.43600707,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",888113.125,790,2014,NA
"R05","Briggs Secret","BS05_003_01",3,1,0,22,"Hardwood","R","density","0.1",NA,"R050016","NO","CONU",11.3,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-123.67782687,42.43600707,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",888113.125,790,2014,NA
"R05","Briggs Secret","BS05_017_02",17,2,1,NA,"Hardwood","R","density","0.1",NA,"R050035","NO","CONU",7.5,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-123.67782687,42.43600707,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",888113.125,790,2014,NA
"R05","Briggs Secret","BS05_005_02",5,2,1,NA,"Hardwood","R","density","0.1",NA,"R050020","NO","CONU",7.5,"0","DOWN DEAD","8",NA,NA,NA,NA,NA,NA,"Mid Slope",-123.67782687,42.43600707,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",888113.125,790,2014,NA
"R07","Briggs Secret","BS07_016_01_001",16,1,1,42,"Hardwood","R","density","0.1",NA,"R070028_001","NO","CONU",11.1219275,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-123.6818437,42.43673669,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",981945.5625,680,2014,NA
"R07","Briggs Secret","BS07_016_01_002",16,1,1,42,"Hardwood","R","density","0.1",NA,"R070028_002","NO","CONU",11.1219275,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-123.6818437,42.43673669,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",981945.5625,680,2014,NA
"R07","Briggs Secret","BS07_045_01",45,1,0,NA,"Conifer","R","density","0.1",NA,"R070060","NO","TSME",16.2,"0","BROKEN BUTT SNAG","7",NA,NA,NA,NA,NA,NA,"Mid Slope",-123.6818437,42.43673669,"LIDE3-PSME-QUCH2/BENE2","Tan oak - Douglas-fir - Dry","Mediterranean California Mixed-Evergreen Forest -- Interior","Cool",981945.5625,680,2014,NA
"S06","Star Gulch","ST06_064_01",64,1,0,NA,"Hardwood","S","density","0.1","S0613","S060013","YES","UNKN",14.440807,"0","CUT STUMP","2",NA,NA,NA,NA,NA,2011,"Mid Slope",-123.11453483,42.14765769,"PSME-QUCH2/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1209539,1105,2014,NA
"S07","Star Gulch","ST07_051_01",51,1,0,NA,"Hardwood","S","density","0.1","S0708","S070008","YES","UNKN",19.7,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Ridge Top",-123.11442373,42.14894847,"PSME-QUCH2/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1144357.75,1101,2014,NA
"V01","Evans Creek","EV01_028_01",28,1,0,NA,"Hardwood","V","density","0.1",NA,"V010036","NO","CONU",11.5,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Ridge Top",-122.97484428,42.65074664,"PSME-CADE27/BEPI2","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1048722.75,942,2012,NA
"V01","Evans Creek","EV01_033_01",33,1,0,NA,"Hardwood","V","density","0.1",NA,"V010042","NO","CONU",13.2,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"Ridge Top",-122.97484428,42.65074664,"PSME-CADE27/BEPI2","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1048722.75,942,2012,NA
"V01","Evans Creek","EV01_034_01",34,1,0,NA,"Hardwood","V","density","0.1",NA,"V010043","NO","CONU",11.1,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"Ridge Top",-122.97484428,42.65074664,"PSME-CADE27/BEPI2","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1048722.75,942,2012,NA
"V01","Evans Creek","EV01_035_01",35,1,0,NA,"Hardwood","V","density","0.1",NA,"V010044","NO","CONU",10.5,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"Ridge Top",-122.97484428,42.65074664,"PSME-CADE27/BEPI2","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1048722.75,942,2012,NA
"V02","Evans Creek","EV02_021_01",21,1,0,NA,"Hardwood","V","density","0.1",NA,"V020020","NO","CONU",16.4,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"Ridge Top",-122.97382432,42.65065078,"PSME-CADE27/BEPI2","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1188335.875,916,2012,NA
"V03","Evans Creek","EV03_006_01",6,1,0,NA,"Hardwood","V","density","0.1",NA,"V030014","NO","CONU",20.5,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-122.97191981,42.65046553,"PSME-CADE27/BEPI2","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1212809.125,829,2012,NA
"V05","Evans Creek","EV05_005_01",5,1,0,NA,"Hardwood","V","density","0.1",NA,"V050014","NO","CONU",13.2,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-122.97060404,42.64815804,"PSME-CADE27/BEPI2","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1042004.938,805,2012,NA
"V05","Evans Creek","EV05_035_01",35,1,0,NA,"Hardwood","V","density","0.1",NA,"V050039","NO","CONU",15,"4","LIVE","1",NA,NA,NA,NA,NA,NA,"Mid Slope",-122.97060404,42.64815804,"PSME-CADE27/BEPI2","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1042004.938,805,2012,NA
"VA","Evans Creek","MEV4121",412,1,0,NA,"Conifer","V","stem","3",NA,"V0A0502","NO","TSME",28.8,"3","LIVE","1",NA,NA,NA,NA,NA,NA,"Ridge Top",-122.9732462,42.64709037,"PSME-CADE27/BEPI2","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1266381.625,950,2012,NA
